team_id,era,avg,cur_wins,obp,slg,ops,stolenBases,leftOnBase,runs,whip,runs_against,blownSaves,strikeoutWalkRatio,wins
2023113,4.91,.257,49,.338,.416,.754,107,639,446,1.45,457,13,2.26,82
2024113,3.84,.225,42,.301,.376,.677,128,533,382,1.25,368,6,2.63,77
2013114,4.47,.257,46,.329,.424,.753,68,602,427,1.38,411,17,2.26,92
2014114,4.00,.254,43,.321,.395,.716,48,625,387,1.36,402,11,2.63,85
2015114,3.90,.250,39,.323,.387,.710,39,607,331,1.25,355,5,3.33,81
2016114,3.63,.259,51,.321,.433,.754,65,554,413,1.21,335,7,2.93,94
2017114,3.81,.262,46,.337,.441,.778,43,606,414,1.22,342,3,3.58,102
2018114,3.90,.255,49,.326,.437,.763,68,602,440,1.18,362,10,3.85,91
2019114,3.92,.244,50,.322,.418,.740,60,597,396,1.22,369,6,3.38,93
2021114,4.48,.226,42,.295,.391,.686,40,491,356,1.32,384,6,2.56,80
2022114,4.05,.243,40,.307,.377,.684,51,535,341,1.26,357,8,2.66,92
2023114,3.78,.248,44,.312,.374,.686,71,613,354,1.26,362,17,2.56,76
2024114,3.69,.246,56,.320,.412,.732,74,530,436,1.21,339,11,2.90,92
2013115,4.33,.267,42,.325,.434,.759,64,627,409,1.39,409,10,2.19,74
2014115,5.07,.280,37,.331,.447,.778,55,594,435,1.45,482,14,1.91,66
2015115,4.94,.266,35,.315,.426,.741,43,513,363,1.48,429,10,1.99,68
2016115,5.04,.271,39,.334,.459,.793,34,572,440,1.44,450,11,2.36,75
2017115,4.50,.269,51,.327,.429,.756,31,567,447,1.37,414,8,2.29,87
2018115,4.77,.254,46,.318,.424,.742,45,567,418,1.38,443,15,2.47,91
2019115,5.16,.266,44,.325,.454,.779,30,569,490,1.44,488,15,2.36,71
2021115,4.72,.244,37,.311,.395,.706,49,586,373,1.38,430,15,2.20,74
2022115,4.94,.259,36,.322,.400,.722,19,588,370,1.43,443,7,2.18,68
2023115,5.77,.255,34,.316,.402,.718,33,581,390,1.55,534,12,1.89,59
2024115,5.47,.244,32,.305,.390,.695,52,592,373,1.53,522,19,1.84,61
2013116,3.81,.282,48,.349,.435,.784,26,686,445,1.23,355,9,3.38,93
2014116,4.04,.275,48,.330,.441,.771,56,561,394,1.32,370,8,2.68,90
2015116,4.25,.280,42,.338,.432,.770,56,583,377,1.33,383,9,2.44,74
2016116,4.56,.270,45,.331,.442,.773,35,584,422,1.38,413,9,2.43,86
2017116,4.91,.255,38,.328,.429,.757,28,575,404,1.44,433,16,2.20,64
2018116,4.34,.248,40,.307,.392,.699,43,623,366,1.33,419,18,2.32,64
2019116,4.99,.232,28,.293,.381,.674,35,577,311,1.42,472,14,2.49,47
2021116,4.65,.236,40,.308,.387,.695,55,569,360,1.38,427,10,2.32,77
2022116,3.96,.231,35,.289,.339,.628,21,516,261,1.25,343,6,2.46,66
2023116,4.54,.231,38,.301,.367,.668,42,602,341,1.26,428,14,2.98,78
2024116,3.95,.230,42,.294,.378,.672,40,574,371,1.22,390,17,3.32,86
