team_id,p_runs,p_era,p_whip,p_strikeoutWalkRatio,p_ops,h_ops,h_leftOnBase,h_runs,h_hits,h_avg,wins
2023136,4.183908045977011,3.78,1.19,3.42,.672,.707,6.758620689655173,4.586206896551724,7.873563218390805,.234,88
2024136,3.760869565217391,3.55,1.08,3.55,.642,.660,6.510869565217392,3.8043478260869565,7.054347826086956,.217,85
2008137,4.584269662921348,4.24,1.42,1.94,.736,.716,7.112359550561798,4.123595505617978,8.92134831460674,.260,72
2009137,3.6506024096385543,3.49,1.31,2.16,.697,.703,6.602409638554217,4.156626506024097,8.819277108433734,.261,88
2010137,3.7142857142857144,3.46,1.33,1.97,.687,.727,6.809523809523809,4.345238095238095,8.833333333333334,.260,92
2011137,3.5280898876404496,3.23,1.22,2.44,.644,.672,7.078651685393258,3.6292134831460676,8.224719101123595,.242,86
2012137,3.9176470588235293,3.54,1.26,2.44,.693,.699,7.2823529411764705,3.9529411764705884,8.91764705882353,.262,94
2013137,4.413793103448276,4.10,1.31,2.57,.714,.702,6.9655172413793105,3.942528735632184,8.919540229885058,.262,76
2014137,3.6666666666666665,3.39,1.17,2.98,.673,.691,6.433333333333334,3.9444444444444446,8.155555555555555,.244,88
2015137,3.976470588235294,3.86,1.27,2.45,.707,.724,7.094117647058823,4.105882352941176,9.141176470588235,.266,84
2016137,3.9885057471264367,3.63,1.22,3.03,.704,.739,7.172413793103448,4.712643678160919,8.988505747126437,.262,87
2017137,4.9772727272727275,4.65,1.41,2.56,.778,.676,6.7727272727272725,3.8863636363636362,8.329545454545455,.242,64
2018137,4.384615384615385,4.06,1.33,2.38,.720,.712,7.164835164835165,4.032967032967033,8.604395604395604,.251,73
2019137,4.932584269662922,4.53,1.33,2.68,.756,.682,6.146067415730337,4.146067415730337,7.696629213483146,.230,77
2021137,3.686046511627907,3.28,1.11,3.33,.645,.759,6.825581395348837,4.9186046511627906,8.05813953488372,.242,107
2022137,4.419753086419753,3.94,1.27,3.13,.696,.710,6.765432098765432,4.666666666666667,7.765432098765432,.234,81
2023137,4.340909090909091,3.95,1.26,3.25,.713,.728,7.136363636363637,4.659090909090909,8.397727272727273,.247,79
2024137,4.714285714285714,4.44,1.36,2.72,.745,.703,6.989010989010989,4.417582417582418,8.252747252747254,.244,80
2008138,4.433333333333334,4.16,1.38,1.85,.756,.771,7.811111111111111,4.611111111111111,9.411111111111111,.272,86
2009138,4.141176470588236,3.77,1.29,2.21,.707,.740,6.847058823529411,4.435294117647059,8.494117647058824,.256,91
2010138,3.8333333333333335,3.42,1.29,2.39,.704,.748,7.226190476190476,4.476190476190476,8.916666666666666,.262,86
2011138,4.404494382022472,3.95,1.30,2.31,.716,.754,6.820224719101123,4.674157303370786,9.067415730337078,.267,90
2012138,4.141176470588236,3.92,1.31,2.65,.715,.776,7.317647058823529,4.952941176470588,9.564705882352941,.275,88
2013138,3.5517241379310347,3.32,1.18,3.23,.661,.749,6.563218390804598,4.954022988505747,9.379310344827585,.274,97
2014138,3.466666666666667,3.29,1.21,2.62,.645,.683,7.2,3.6666666666666665,8.377777777777778,.249,90
2015138,2.869047619047619,2.62,1.20,2.96,.652,.714,7.059523809523809,3.9642857142857144,8.761904761904763,.259,100
2016138,4.235294117647059,3.93,1.27,2.69,.690,.777,7.117647058823529,5.1647058823529415,9.011764705882353,.261,86
2017138,4.511627906976744,4.05,1.31,2.68,.737,.748,6.72093023255814,4.558139534883721,8.581395348837209,.253,83
2018138,4.113636363636363,3.66,1.27,2.43,.680,.714,6.670454545454546,4.340909090909091,8.261363636363637,.244,88
2019138,4.443181818181818,4.14,1.29,2.57,.736,.720,6.8522727272727275,4.465909090909091,8.238636363636363,.244,91
2021138,4.409090909090909,4.22,1.37,1.76,.700,.678,6.568181818181818,3.9431818181818183,7.465909090909091,.228,90
2022138,3.9529411764705884,3.83,1.28,2.30,.704,.723,7.011764705882353,4.588235294117647,8.588235294117647,.251,93
2023138,5.056818181818182,4.67,1.48,2.27,.782,.757,7.136363636363637,4.636363636363637,8.704545454545455,.255,71
2024138,4.51685393258427,3.95,1.27,2.81,.706,.690,7.258426966292135,4.078651685393258,8.247191011235955,.243,83
2008139,3.965909090909091,3.60,1.24,2.20,.682,.763,7.363636363636363,4.818181818181818,9.034090909090908,.266,97
2009139,4.464285714285714,4.13,1.36,2.02,.736,.807,7.273809523809524,5.380952380952381,9.202380952380953,.270,84
2010139,3.8452380952380953,3.58,1.24,2.53,.704,.742,7.404761904761905,5.071428571428571,8.726190476190476,.256,96
2011139,3.8295454545454546,3.60,1.21,2.22,.689,.716,6.443181818181818,4.2727272727272725,8.272727272727273,.247,91
2012139,4.152941176470589,3.72,1.28,2.50,.698,.688,6.423529411764706,4.188235294117647,7.635294117647059,.232,90
2013139,4.191011235955056,3.97,1.24,2.65,.691,.749,6.887640449438202,4.719101123595506,8.842696629213483,.260,92
2014139,4.173913043478261,3.85,1.26,2.82,.687,.704,7.478260869565218,3.8152173913043477,8.554347826086957,.250,77
2015139,3.7209302325581395,3.51,1.22,2.74,.671,.683,6.453488372093023,3.627906976744186,7.988372093023256,.240,80
2016139,4.752941176470588,4.57,1.36,2.73,.753,.730,6.741176470588235,3.976470588235294,8.117647058823529,.241,68
2017139,4.6477272727272725,4.23,1.33,2.46,.732,.776,7.011363636363637,4.795454545454546,8.829545454545455,.257,80
2018139,3.8068181818181817,3.56,1.18,2.65,.664,.702,7.068181818181818,3.840909090909091,8.454545454545455,.249,90
2019139,3.681318681318681,3.32,1.15,3.29,.655,.749,7.208791208791209,4.56043956043956,8.813186813186814,.254,96
2021139,4.011494252873563,3.55,1.14,3.46,.672,.713,7.0,4.908045977011494,7.839080459770115,.231,100
2022139,3.841463414634146,3.29,1.14,3.36,.668,.683,6.463414634146342,4.146341463414634,7.987804878048781,.238,86
2023139,3.8131868131868134,3.69,1.20,2.83,.677,.786,6.252747252747253,5.43956043956044,8.736263736263735,.260,99
2024139,4.733333333333333,4.36,1.27,3.06,.728,.679,6.844444444444444,3.988888888888889,7.844444444444444,.235,80
2008140,5.777777777777778,5.03,1.57,1.38,.801,.808,7.7,5.488888888888889,9.933333333333334,.281,79
2009140,4.621951219512195,4.38,1.40,1.64,.766,.775,6.670731707317073,5.012195121951219,8.890243902439025,.258,87
2010140,4.238095238095238,3.90,1.33,1.96,.709,.775,7.238095238095238,5.25,9.726190476190476,.280,90
2011140,4.415730337078652,3.95,1.30,2.23,.727,.774,6.853932584269663,4.943820224719101,9.382022471910112,.271,96
