team_id,era,avg
133,3.80,.232
134,4.88,.234
135,3.41,.241
136,4.41,.217
137,3.26,.245
138,4.24,.230
139,3.50,.230
140,4.45,.233
141,3.99,.264
142,4.98,.246
143,4.39,.241
144,4.24,.238
145,3.58,.257
146,3.45,.234
147,3.82,.236
158,3.44,.220
108,4.90,.257
109,5.40,.231
110,5.60,.237
111,4.09,.259
112,4.13,.227
113,4.38,.249
114,4.42,.229
115,4.60,.245
116,4.74,.236
117,3.60,.269
118,5.15,.243
119,3.14,.244
120,4.12,.253
121,3.45,.232
